strategy,model,split,method,corpus_version,chunking_strategy,model_key,model_source,document_index_sha256,document_count,embedding_dimension,normalized,build_seconds,vectors_bytes,model_parameter_bytes,all_gold_hit@1,all_gold_hit@3,all_gold_hit@30,all_gold_hit@5,all_gold_hit@50,candidate_all_gold_recall,candidate_depth_per_source,claim_recall@1,claim_recall@3,claim_recall@30,claim_recall@5,claim_recall@50,mrr@10,ndcg@10,average_query_pipeline_ms,p95_query_pipeline_ms,all_gold_hit@5_ci95_low,all_gold_hit@5_ci95_high,zh_minus_en_all_gold_hit@5,mean_absolute_language_gap@5
section_aware,bge-m3,development,bm25,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.35,0.375,0.5,0.4,0.5,0.5,50.0,0.37916666666666665,0.425,0.5,0.45,0.5,0.4395833333333333,0.43234261642363536,11.68697748798877,17.92620006017387,0.25,0.55,-0.6,0.8
section_aware,bge-m3,development,vector,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.525,0.7,0.925,0.725,0.975,0.975,50.0,0.5583333333333333,0.7625,0.95,0.7833333333333333,0.9875,0.7202083333333333,0.7119227791257644,200.85069500200916,294.1865000175312,0.575,0.85,-0.15,0.15
section_aware,bge-m3,development,candidate_union,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.35,0.375,0.5,0.4,0.5,0.975,50.0,0.37916666666666665,0.425,0.5,0.45,0.5,0.4395833333333333,0.43234261642363536,213.01141999429092,307.75749997701496,0.25,0.55,-0.6,0.8
section_aware,bge-m3,development,rrf,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.325,0.425,0.9,0.475,0.95,0.975,50.0,0.3416666666666667,0.48333333333333334,0.9333333333333333,0.5333333333333333,0.9625,0.4825297619047619,0.5152766618353631,213.00609498866834,307.5579999713227,0.325,0.625,-0.35,0.55
section_aware,bge-m3,development,weighted,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.325,0.475,0.9,0.575,0.925,0.975,50.0,0.35,0.525,0.9333333333333333,0.6333333333333333,0.9541666666666667,0.5122123015873016,0.5470178647566316,213.05818749242462,307.63449997175485,0.425,0.725,-0.35,0.45
section_aware,bge-m3,development,rrf_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.325,0.475,0.95,0.525,0.95,0.975,50.0,0.3416666666666667,0.5333333333333333,0.95,0.5833333333333334,0.9625,0.49273809523809525,0.5302540102457419,216.11712998710573,260.8100000070408,0.375,0.675,-0.25,0.45
section_aware,bge-m3,development,weighted_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.325,0.475,0.925,0.625,0.95,0.975,50.0,0.35,0.525,0.9416666666666667,0.6833333333333333,0.9625,0.5220039682539682,0.5602744430421698,216.1400899873115,260.84809994790703,0.475,0.775,-0.25,0.35
section_aware,bge-m3,development,rrf_lexical_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.325,0.425,0.9,0.475,0.95,0.975,50.0,0.3416666666666667,0.48333333333333334,0.9333333333333333,0.5333333333333333,0.9625,0.48218253968253966,0.5122424926360107,213.35926499741618,309.3636999838054,0.325,0.625,-0.35,0.55
section_aware,bge-m3,development,weighted_lexical_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.325,0.475,0.9,0.6,0.925,0.975,50.0,0.35,0.525,0.9333333333333333,0.6583333333333333,0.9541666666666667,0.5147123015873016,0.5463027127168274,213.3146500098519,309.09640004392713,0.45,0.75,-0.3,0.4
section_aware,bge-m3,development,cross_encoder,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.65,0.8,0.95,0.825,0.95,0.95,30.0,0.6708333333333333,0.8541666666666666,0.95,0.8833333333333333,0.95,0.8083333333333333,0.8200857788879994,10008.877497480717,10960.20749991294,0.7,0.925,-0.15,0.15
