strategy,model,split,method,corpus_version,chunking_strategy,model_key,model_source,document_index_sha256,document_count,embedding_dimension,normalized,build_seconds,vectors_bytes,model_parameter_bytes,all_gold_hit@1,all_gold_hit@3,all_gold_hit@30,all_gold_hit@5,all_gold_hit@50,candidate_all_gold_recall,candidate_depth_per_source,claim_recall@1,claim_recall@3,claim_recall@30,claim_recall@5,claim_recall@50,mrr@10,ndcg@10,average_query_pipeline_ms,p95_query_pipeline_ms,all_gold_hit@5_ci95_low,all_gold_hit@5_ci95_high,zh_minus_en_all_gold_hit@5,mean_absolute_language_gap@5
section_aware,bge-m3,frozen,bm25,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.4125,0.4875,0.5375,0.5,0.5375,0.5375,50.0,0.41875,0.49375,0.5375,0.50625,0.5375,0.464702380952381,0.4682509569967744,10.67660374683328,16.397500061430037,0.3875,0.6125,-0.3,0.95
section_aware,bge-m3,frozen,vector,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.6,0.7875,0.9875,0.8125,1.0,1.0,50.0,0.6125,0.7875,0.9875,0.8125,1.0,0.7196428571428571,0.7417382804779117,192.7211099973647,233.83699997793883,0.7125,0.8875,0.025,0.175
section_aware,bge-m3,frozen,candidate_union,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.4125,0.4875,0.5375,0.5,0.5375,1.0,50.0,0.41875,0.49375,0.5375,0.50625,0.5375,0.464702380952381,0.4682509569967744,203.84659999253927,253.59930004924536,0.3875,0.6125,-0.3,0.95
section_aware,bge-m3,frozen,rrf,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.3875,0.5375,0.9625,0.625,0.9875,1.0,50.0,0.39375,0.5375,0.9625,0.625,0.9875,0.5000297619047619,0.5372157722678741,203.81339124578517,253.5668999189511,0.5125,0.725,-0.1,0.75
section_aware,bge-m3,frozen,weighted,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.425,0.55,0.9625,0.65,0.9875,1.0,50.0,0.43125,0.55625,0.9625,0.65625,0.9875,0.5364186507936508,0.5882523237859488,203.84481749351835,253.57149995397776,0.5375,0.75,-0.25,0.7
section_aware,bge-m3,frozen,rrf_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.375,0.55,0.975,0.6375,0.9875,1.0,50.0,0.38125,0.55,0.975,0.6375,0.9875,0.49367559523809523,0.5337122922269797,199.4734075065935,248.6839999910444,0.525,0.7375,-0.075,0.725
section_aware,bge-m3,frozen,weighted_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.4125,0.55,0.975,0.65,0.9875,1.0,50.0,0.41875,0.5625,0.975,0.65625,0.9875,0.5314632936507937,0.5891007419721086,199.48950375255663,248.73110000044107,0.5375,0.75,-0.25,0.7
section_aware,bge-m3,frozen,rrf_lexical_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.3875,0.5375,0.9625,0.625,0.9875,1.0,50.0,0.39375,0.5375,0.9625,0.625,0.9875,0.5000297619047619,0.5372157722678741,203.4041662554955,254.10670007113367,0.5125,0.725,-0.1,0.75
section_aware,bge-m3,frozen,weighted_lexical_expanded,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.4125,0.55,0.9625,0.65,0.9875,1.0,50.0,0.41875,0.55625,0.9625,0.65625,0.9875,0.5301686507936508,0.5850781316819519,203.44870749831898,253.84709995705634,0.5375,0.75,-0.25,0.7
section_aware,bge-m3,frozen,cross_encoder,2.0.0,section_aware,bge-m3,bge-m3,bdfb521e0a0861a466dd0d9e7c4b36c7ab5fc8267c8e2b807ced99725ed2e573,934,1024,True,939.626,3825792,2271019008,0.85,0.95,0.975,0.95,0.975,0.975,30.0,0.8625,0.95,0.975,0.95,0.975,0.913764880952381,0.9001997117066629,9651.638035025098,10350.456900079735,0.9,0.9875,0.0,0.05
